Year;CoarseSand_gperkg;LightSand_gperkg;CoarseLimestone_gperkg;LightLimestone_gperkg;Clay_gperkg;Corg_gperkg;OrganicMatter_gperkg;NitrogenTot_gparkg;pH_water;CaTot_gparkg;CaAct_gparkg
2017;NA;NA;NA;NA;NA;13.69;23.68;1.26;8.17;NA;NA
2016;NA;NA;NA;NA;NA;13.74;23.77;1.26;8.1;NA;NA
2015;NA;NA;NA;NA;NA;13.7790697674419;23.7;;8.5;NA;NA
2016;NA;NA;NA;NA;NA;13.78;23.84;1.26;8.1;NA;NA
2016;NA;NA;NA;NA;NA;13.86;23.98;1.33;8;NA;NA
2016;NA;NA;NA;NA;NA;13.87;24;1.25;8.1;NA;NA
2015;NA;NA;NA;NA;NA;13.89;24.03;1.22;8.4;NA;NA
2019;NA;NA;NA;NA;NA;13.9;23.9;1.7;7.77;NA;NA
2017;NA;NA;NA;NA;NA;13.94;24.12;1.34;8;NA;NA
1968;NA;NA;NA;NA;NA;13.95;24;;7.7;270;NA
2017;NA;NA;NA;NA;NA;13.95;24.13;1.32;7.6;NA;NA
2016;NA;NA;NA;NA;NA;14.02;24.25;1.26;8.1;NA;NA
2015;NA;NA;NA;NA;NA;14.16;24.5;1.29;8.1;NA;NA
2017;NA;NA;NA;NA;NA;14.2;24.57;1.28;8.3;NA;NA
2017;NA;NA;NA;NA;NA;14.28;24.7;1.37;7.58;NA;NA
2017;NA;NA;NA;NA;NA;14.34;24.8;1.32;8.13;NA;NA
2017;NA;NA;NA;NA;NA;14.39;24.89;1.44;7.93;NA;NA
1975;30;20;230;450;240;14.53;25;;7.6;5;NA
2001;165;122;69;313;331;14.53;25;;8.34;238;NA
2016;NA;NA;NA;NA;NA;14.55;25.17;1.31;8.1;NA;NA
2017;NA;NA;NA;NA;NA;14.55;25.17;1.31;8.3;NA;NA
2016;NA;NA;NA;NA;NA;14.57;25.21;1.37;8;NA;NA
2016;NA;NA;NA;NA;NA;14.58;25.22;1.46;8;NA;NA
2019;NA;NA;NA;NA;NA;14.6;25.2;1.7;7.8;NA;NA
2017;NA;NA;NA;NA;NA;14.62;25.29;1.32;8.36;NA;NA
2016;NA;NA;NA;NA;NA;14.67;25.38;1.48;7.4;NA;NA
2017;NA;NA;NA;NA;NA;14.69;25.41;1.4;8.12;NA;NA
2019;NA;NA;NA;NA;NA;14.7;25.2;1.7;7.84;NA;NA
2016;NA;NA;NA;NA;NA;14.79;25.59;1.48;7.9;NA;NA
2017;NA;NA;NA;NA;NA;14.83;25.66;1.34;8.14;NA;NA
2015;NA;NA;NA;NA;NA;14.8837209302326;25.6;;8.6;NA;NA
2015;NA;NA;NA;NA;NA;14.8837209302326;25.6;;;NA;NA
2016;NA;NA;NA;NA;NA;14.92;25.81;1.37;8.1;NA;NA
2016;NA;NA;NA;NA;NA;14.98;25.92;1.35;8.1;NA;NA
2016;NA;NA;NA;NA;NA;15.08;26.09;1.45;7.9;NA;NA
2000;NA;NA;NA;NA;NA;15.11;26;;7.96;NA;NA
2016;NA;NA;NA;NA;NA;15.11;26.14;1.5;7.5;NA;NA
2001;NA;NA;NA;NA;NA;15.12;26;;8.40;189;NA
2016;NA;NA;NA;NA;NA;15.12;26.15;1.37;8.2;NA;NA
2015;NA;NA;NA;NA;NA;15.15;26.22;1.38;8.19;NA;NA
2015;NA;NA;NA;NA;NA;15.17;26.24;1.43;7.83;NA;NA
2009;157;63;55;171;554;15.3;26.3;2;7.82;15;NA
2017;NA;NA;NA;NA;NA;15.3;26.4;1.6;8.25;117;NA
2019;NA;NA;NA;NA;NA;15.3;26.4;1.7;8.02;NA;NA
2015;NA;NA;NA;NA;NA;15.32;26.5;1.52;7.1;NA;NA
2017;NA;NA;NA;NA;NA;15.36;26.57;1.38;8.2;NA;NA
2016;NA;NA;NA;NA;NA;15.52;26.85;1.4;8.4;NA;NA
2017;NA;NA;NA;NA;NA;15.53;26.87;1.42;8.41;NA;NA
2017;NA;NA;NA;NA;NA;15.58;26.95;1.4;8.57;NA;NA
